subject,Window1_alpha,Window1_beta,Window1_theta,Window1_alpha_beta,Window1_theta_beta,Window2_alpha,Window2_beta,Window2_theta,Window2_alpha_beta,Window2_theta_beta,Window3_alpha,Window3_beta,Window3_theta,Window3_alpha_beta,Window3_theta_beta,Window4_alpha,Window4_beta,Window4_theta,Window4_alpha_beta,Window4_theta_beta,Window5_alpha,Window5_beta,Window5_theta,Window5_alpha_beta,Window5_theta_beta,Window6_alpha,Window6_beta,Window6_theta,Window6_alpha_beta,Window6_theta_beta,Window7_alpha,Window7_beta,Window7_theta,Window7_alpha_beta,Window7_theta_beta,Window8_alpha,Window8_beta,Window8_theta,Window8_alpha_beta,Window8_theta_beta,Window9_alpha,Window9_beta,Window9_theta,Window9_alpha_beta,Window9_theta_beta,Window10_alpha,Window10_beta,Window10_theta,Window10_alpha_beta,Window10_theta_beta
Subject00,2.1161660890212296e-10,1.4925432172266707e-10,1.8770892629654242e-10,1.4178256713754172,1.2576448315200464,2.350304570445283e-10,1.5506210868208712e-10,1.7800942677972568e-10,1.5157181792645076,1.1479879146019214,2.244657631613582e-10,1.5552644310970553e-10,1.752318149578325e-10,1.4432643007403192,1.12670110274577,2.457189999482146e-10,1.4942993209275146e-10,1.7865538622756697e-10,1.6443760397059963,1.1955796521186612,1.9251409209808876e-10,1.3962990672514558e-10,1.636048346447435e-10,1.3787454035691868,1.1717033870601328,1.8674075351825337e-10,1.3819439984813106e-10,1.6474029280025514e-10,1.3512903107757797,1.1920909456627529,2.5189352938426935e-10,1.6300566273390316e-10,1.8383257711400385e-10,1.5453053909879821,1.1277680421084473,2.7934461479975986e-10,1.552553441168107e-10,1.8085536718517806e-10,1.7992592550604065,1.1648898027568473,2.1935430656578028e-10,1.50299591428627e-10,1.7378594933887008e-10,1.4594471247777503,1.1562636177982966,2.495757755122569e-10,1.5885461000910655e-10,1.887868510498798e-10,1.5710955791459225,1.1884253849419752
Subject01,5.0116680321106176e-11,4.840181871625336e-11,7.543949091722265e-11,1.0354296935597787,1.5586086002154713,6.412801405210133e-11,6.484059108748146e-11,1.2207601758194048e-10,0.9890103248068985,1.8827098201069492,4.558251199107646e-11,4.891772074114102e-11,5.1676696276892146e-11,0.9318200296429681,1.0564003288368822,4.5201545031999595e-11,4.1060164791992804e-11,5.085118129183489e-11,1.100861266899114,1.2384553629884956,4.1567242088524006e-11,4.305822869502577e-11,5.337527488722896e-11,0.9653727835145711,1.2396068418252202,4.265207580567096e-11,4.487796614552908e-11,4.7744224883086484e-11,0.9504012652302456,1.0638678394707723,4.59969862821321e-11,4.40333921741446e-11,4.6191646801173406e-11,1.0445932963833862,1.0490140441257234,5.5811040332250184e-11,6.032130599195511e-11,7.493841728711086e-11,0.9252293101826004,1.2423208691321306,4.910293051903302e-11,5.893638980303907e-11,6.767808509131866e-11,0.8331513125105097,1.14832424105877,5.513417432276831e-11,5.606226668019368e-11,8.385684966285458e-11,0.9834453294098924,1.4957805780707132
Subject02,6.163652034925728e-11,1.3978680223182726e-10,7.58793944300199e-11,0.44093232955595585,0.5428223066736936,7.110596892481777e-11,1.6338942415299025e-10,7.42584016950667e-11,0.4351932157998026,0.45448719878916144,5.6552966998209976e-11,1.3781111125987338e-10,7.16777821921377e-11,0.4103658005599188,0.5201161324138325,6.668557954877212e-11,1.522283107027605e-10,6.705691420005403e-11,0.4380629282484894,0.44050225539839766,6.580510301133496e-11,1.443899288861162e-10,7.061835906675716e-11,0.4557457955619399,0.48908091867304365,6.196828370648858e-11,1.3819091477388323e-10,6.568798737545337e-11,0.4484251646201563,0.4753423007795862,7.457099835684347e-11,1.5055586983947402e-10,6.981016449337704e-11,0.49530449019591666,0.4636827814671734,7.613424887230935e-11,1.3527366401453998e-10,6.877787702176761e-11,0.5628164907555546,0.5084350861848096,8.371990365011532e-11,1.5763271147494195e-10,7.102897809549114e-11,0.5311074260333576,0.45059795921091067,7.202043333037758e-11,1.3938795681175003e-10,6.894611302197111e-11,0.5166905016596559,0.4946346484946764
Subject03,5.769428964464516e-11,5.1980670130826385e-11,5.725118043455756e-11,1.1099181580275626,1.101393658266933,5.640622826918383e-11,5.532966704896148e-11,5.7235184537169105e-11,1.0194572148657555,1.0344393449272238,5.931620639908588e-11,5.7121939095985295e-11,5.8191233057241896e-11,1.038413739761415,1.0187194968899744,6.543632535970878e-11,5.760108204598119e-11,5.443324489968919e-11,1.1360259744334829,0.9450038604524267,6.25301313608962e-11,5.5978025828794876e-11,5.524202704569998e-11,1.117047813585647,0.9868520053682154,5.963664063831208e-11,5.2164188269015024e-11,5.554403807973632e-11,1.1432487040871986,1.0647925314833067,6.408434656796677e-11,5.396284243908058e-11,5.62694817831214e-11,1.1875643252171622,1.0427449563400004,6.972114926642615e-11,5.860861821853646e-11,5.884978338089783e-11,1.189605750581833,1.0041148412928305,7.859542827548856e-11,5.570286502741982e-11,6.661989785349527e-11,1.4109764055547205,1.1959869177411524,6.896670933734782e-11,5.6791992119342095e-11,6.011846618551454e-11,1.2143738362341983,1.0585729421003973
Subject04,6.934169382899804e-11,8.986958066445747e-11,6.790109661287373e-11,0.7715813662010552,0.7555515015296822,8.396259704176565e-11,9.407349386171702e-11,6.607465108767695e-11,0.8925213000506408,0.7023726702954515,7.078300953245434e-11,8.629202101680821e-11,6.660571694352654e-11,0.820272937154491,0.7718641440852669,8.423995284480854e-11,8.977374125989599e-11,6.790920819591893e-11,0.9383584961768824,0.7564484585678679,8.483322562322428e-11,8.851413311937997e-11,7.101835784699308e-11,0.9584144659566262,0.8023391897338005,9.07642738205214e-11,8.914421426455617e-11,7.349975901832807e-11,1.0181734683437484,0.824503975100397,7.152478332353028e-11,8.396396160353129e-11,6.673759722309306e-11,0.8518509841312937,0.7948362124481543,6.664989740591356e-11,8.67398015705314e-11,6.632759854797632e-11,0.7683888618504392,0.7646731644185611,7.772829995080482e-11,9.09005157523635e-11,6.574089733429682e-11,0.8550919574819223,0.7232180894703834,7.738475918733619e-11,8.382384947732888e-11,6.951790491009498e-11,0.9231830758174114,0.8293332427890572
Subject05,1.6946216802713373e-10,2.8003512571664984e-10,1.9721565611015563e-10,0.6051461137007577,0.7042532811034067,2.063693200589692e-10,2.8676052499059574e-10,1.9047688037191545e-10,0.7196573519515527,0.6642367542679108,1.953731404683901e-10,3.0016107579594406e-10,1.9009190778683295e-10,0.6508943238236824,0.6332996617991252,2.3034424545325275e-10,3.0786949647794745e-10,1.967653430297816e-10,0.7481879435553376,0.6391193193245626,1.7701273850164852e-10,3.1686048488693286e-10,1.862533833072133e-10,0.5586456719739383,0.5878088060544222,2.0217398014330615e-10,2.853398208242444e-10,1.9234916919755988e-10,0.7085375590385458,0.6741055932604573,1.907839507535629e-10,3.1079159900027433e-10,2.009322729722858e-10,0.613864568306412,0.6465177103197968,1.8115635914268242e-10,3.0232505094590016e-10,1.8322291109555668e-10,0.5992105469787868,0.6060460769701274,2.0273465134242626e-10,3.026049428386013e-10,1.9978947907151951e-10,0.669964771363823,0.6602320411470612,1.9725503656748033e-10,3.068968155045684e-10,1.9363672616907181e-10,0.6427405779469355,0.6309505879059516
Subject06,3.734772768509985e-11,7.385104733058414e-11,4.212499294631977e-11,0.5057169672613828,0.5704048144063955,3.7627787786894725e-11,7.533250340467841e-11,5.4338252399135715e-11,0.49948941142659425,0.7213121819042206,4.0087312381515635e-11,7.303814431585128e-11,4.9003732303525616e-11,0.5488544753842491,0.6709334247542001,3.8324895078473356e-11,6.692869542028917e-11,4.30458651398255e-11,0.5726227717095964,0.6431600805829589,3.7384875632131826e-11,6.472692709098065e-11,4.929906838968799e-11,0.5775784099804918,0.7616469776232827,3.6493916932950265e-11,6.665304177767847e-11,6.801516256751744e-11,0.5475206526159135,1.020435988418688,3.8594091225709306e-11,7.340298694220662e-11,6.193259666572475e-11,0.5257836613119862,0.8437340120026313,4.744939497088575e-11,8.534802789916298e-11,5.786490079149458e-11,0.5559518613241571,0.6779875553757472,4.01603185999817e-11,7.700494179261123e-11,4.7007231434470896e-11,0.5215291079388253,0.6104443473390344,4.9256338022697874e-11,7.217983871190987e-11,6.221065557629958e-11,0.6824113062830999,0.8618841034627397
Subject07,3.7050207727143445e-11,4.219006785210664e-11,3.935111650700978e-11,0.8781736937949355,0.9327104342413353,3.902857196668126e-11,4.78869887736126e-11,3.4605716342882765e-11,0.8150141189956668,0.7226538404091869,4.0368303517499715e-11,4.6787840086809375e-11,4.066383981989078e-11,0.8627947655331181,0.8691112849929334,5.5457456255571435e-11,5.218554784617166e-11,3.6311882535667356e-11,1.0626975962587275,0.6958225798971123,5.7078949431018355e-11,5.555565726219473e-11,4.0697176399242035e-11,1.027419208841945,0.7325478340967483,7.550324134286219e-11,5.528363995855919e-11,4.2916312737411634e-11,1.3657429467281763,0.7762931813024948,7.108319048679423e-11,5.276426581780753e-11,4.728312044121784e-11,1.347184299545474,0.8961201242614495,5.012232513611873e-11,5.892304378545215e-11,4.455460959964006e-11,0.8506404611177558,0.7561491521359663,3.956006111844994e-11,4.8879836238837893e-11,4.351392577912347e-11,0.8093329307641409,0.8902224133179298,4.662659465520022e-11,5.469233616921671e-11,3.8107534775880825e-11,0.8525251967833064,0.6967618764350653
Subject08,3.0450628263550035e-10,3.574165837946974e-10,3.8122958633803557e-10,0.8519646161981418,1.066625343151443,3.0168876639504207e-10,3.4835452312897586e-10,4.0272021376763733e-10,0.8660394694612416,1.1560642593365522,3.1967082174009837e-10,3.6453324986866934e-10,3.809273876712155e-10,0.8769318624714382,1.0449729559881096,2.8433792294029596e-10,3.4012221059763575e-10,3.5457696675437067e-10,0.8359875188411834,1.0424987128342373,2.9308947506289877e-10,3.396940563509262e-10,3.6675328089119357e-10,0.8628042486563796,1.0796576331977779,2.6549753088144503e-10,3.087751727592257e-10,3.4884518049468546e-10,0.859840927328936,1.1297708212010467,2.9060296788297454e-10,3.353241673475389e-10,3.474414556908378e-10,0.8666329366644959,1.036136042442596,3.1176945043467755e-10,3.640764183400922e-10,3.7834441298841145e-10,0.8563297009350562,1.0391895600197627,2.9646653666903157e-10,3.4406136054801575e-10,3.6885650347673413e-10,0.8616676286951378,1.07206604917572,2.57958704622684e-10,3.0225729524512995e-10,3.291663001018894e-10,0.8534407892900654,1.0890268168215305
Subject09,2.2505278732954594e-10,3.8779571963853206e-10,1.765174665121649e-10,0.580338502805858,0.45518157517751473,2.3675138683059717e-10,3.8028917566083307e-10,1.722339084601831e-10,0.622556207178896,0.4529024739157778,2.2131439339699063e-10,3.790335163469684e-10,1.6926791546288695e-10,0.583891354859497,0.44657769870656666,2.408828263232983e-10,3.9507567393513443e-10,1.6888588812464974e-10,0.6097131314717384,0.4274773145166571,2.5888663466246365e-10,4.455501772964637e-10,1.8446533321434788e-10,0.5810493359768177,0.41401696736753146,2.474270753328783e-10,4.135571501072148e-10,1.7077805336147018e-10,0.5982899226110171,0.412949101030404,2.6904305490006474e-10,4.4748189752198555e-10,1.694672140670395e-10,0.6012378520560068,0.3787130049405256,2.221932787592957e-10,3.5874796019411674e-10,1.5425438070035726e-10,0.6193576087208079,0.42997981261521595,2.27880597424999e-10,3.7649686665879604e-10,1.5111694090678127e-10,0.6052655881237865,0.4013763573860828,2.3341546607661203e-10,3.9952817486458154e-10,1.5865143870212102e-10,0.5842277985919948,0.3970969976169898
