subject,file,window_idx,alpha_power,beta_power,theta_power,alpha_beta_ratio,theta_beta_ratio,alpha_rel_power,beta_rel_power,theta_rel_power
Subject00,Subject00_2.edf,1,2.1161660890212296e-10,1.4925432172266707e-10,1.8770892629654242e-10,1.4178256713754172,1.2576448315200464,0.2821460315103148,0.19899909925922557,0.2502701886605097
Subject00,Subject00_2.edf,2,2.350304570445283e-10,1.5506210868208712e-10,1.7800942677972568e-10,1.5157181792645076,1.1479879146019214,0.31930995346380525,0.21066578063921376,0.24184177019399683
Subject00,Subject00_2.edf,3,2.244657631613582e-10,1.5552644310970553e-10,1.752318149578325e-10,1.4432643007403192,1.12670110274577,0.31687205089780934,0.21955233752769368,0.247369860802864
Subject00,Subject00_2.edf,4,2.457189999482146e-10,1.4942993209275146e-10,1.7865538622756697e-10,1.6443760397059963,1.1955796521186612,0.33530448336067253,0.20390985715203122,0.2437904760773914
Subject00,Subject00_2.edf,5,1.9251409209808876e-10,1.3962990672514558e-10,1.636048346447435e-10,1.3787454035691868,1.1717033870601328,0.29559264643632194,0.21439248005550202,0.2512043950412537
Subject00,Subject00_2.edf,6,1.8674075351825337e-10,1.3819439984813106e-10,1.6474029280025514e-10,1.3512903107757797,1.1920909456627529,0.2878299958436749,0.21300381831231432,0.253919923201704
Subject00,Subject00_2.edf,7,2.5189352938426935e-10,1.6300566273390316e-10,1.8383257711400385e-10,1.5453053909879821,1.1277680421084473,0.33499007340483444,0.2167792045238776,0.2444766590557201
Subject00,Subject00_2.edf,8,2.7934461479975986e-10,1.552553441168107e-10,1.8085536718517806e-10,1.7992592550604065,1.1648898027568473,0.3709059201878497,0.20614367781890178,0.2401346681940316
Subject00,Subject00_2.edf,9,2.1935430656578028e-10,1.50299591428627e-10,1.7378594933887008e-10,1.4594471247777503,1.1562636177982966,0.30477175026591385,0.2088268530539094,0.24145889260554654
Subject00,Subject00_2.edf,10,2.495757755122569e-10,1.5885461000910655e-10,1.887868510498798e-10,1.5710955791459225,1.1884253849419752,0.33231410238873554,0.21151743203897744,0.25137268559285986
Subject01,Subject01_2.edf,1,5.0116680321106176e-11,4.840181871625336e-11,7.543949091722265e-11,1.0354296935597787,1.5586086002154713,0.08404936886378515,0.08117341948619007,0.126517589720074
Subject01,Subject01_2.edf,2,6.412801405210133e-11,6.484059108748146e-11,1.2207601758194048e-10,0.9890103248068985,1.8827098201069492,0.058497692914196715,0.05914770700257171,0.11135796881055032
Subject01,Subject01_2.edf,3,4.558251199107646e-11,4.891772074114102e-11,5.1676696276892146e-11,0.9318200296429681,1.0564003288368822,0.1558283445594664,0.16723008692909605,0.17666191882331744
Subject01,Subject01_2.edf,4,4.5201545031999595e-11,4.1060164791992804e-11,5.085118129183489e-11,1.100861266899114,1.2384553629884956,0.20863234345032272,0.18951738036709612,0.2347088160951608
Subject01,Subject01_2.edf,5,4.1567242088524006e-11,4.305822869502577e-11,5.337527488722896e-11,0.9653727835145711,1.2396068418252202,0.12280976470639096,0.127214861246953,0.157696412383569
Subject01,Subject01_2.edf,6,4.265207580567096e-11,4.487796614552908e-11,4.7744224883086484e-11,0.9504012652302456,1.0638678394707723,0.17105187909666958,0.17997858941741865,0.1914734330745064
Subject01,Subject01_2.edf,7,4.59969862821321e-11,4.40333921741446e-11,4.6191646801173406e-11,1.0445932963833862,1.0490140441257234,0.21394385841229646,0.20481067526760666,0.21484927474259233
Subject01,Subject01_2.edf,8,5.5811040332250184e-11,6.032130599195511e-11,7.493841728711086e-11,0.9252293101826004,1.2423208691321306,0.05508588141059284,0.05953754469767204,0.073964734274805
Subject01,Subject01_2.edf,9,4.910293051903302e-11,5.893638980303907e-11,6.767808509131866e-11,0.8331513125105097,1.14832424105877,0.17272178151465842,0.207311419811848,0.23806072881825638
Subject01,Subject01_2.edf,10,5.513417432276831e-11,5.606226668019368e-11,8.385684966285458e-11,0.9834453294098924,1.4957805780707132,0.18129172570010085,0.18434347114026495,0.27573738382574736
Subject02,Subject02_2.edf,1,6.163652034925728e-11,1.3978680223182726e-10,7.58793944300199e-11,0.44093232955595585,0.5428223066736936,0.1238367116364032,0.2808519660173566,0.15245271202738334
Subject02,Subject02_2.edf,2,7.110596892481777e-11,1.6338942415299025e-10,7.42584016950667e-11,0.4351932157998026,0.45448719878916144,0.14047765541568327,0.32279376220861344,0.1467056327728074
Subject02,Subject02_2.edf,3,5.6552966998209976e-11,1.3781111125987338e-10,7.16777821921377e-11,0.4103658005599188,0.5201161324138325,0.1186471953687054,0.2891254466303445,0.15037880908379672
Subject02,Subject02_2.edf,4,6.668557954877212e-11,1.522283107027605e-10,6.705691420005403e-11,0.4380629282484894,0.44050225539839766,0.13875693564639618,0.31675114851920744,0.1395295953227437
Subject02,Subject02_2.edf,5,6.580510301133496e-11,1.443899288861162e-10,7.061835906675716e-11,0.4557457955619399,0.48908091867304365,0.13700460467368525,0.30061627777554584,0.14702568530253482
Subject02,Subject02_2.edf,6,6.196828370648858e-11,1.3819091477388323e-10,6.568798737545337e-11,0.4484251646201563,0.4753423007795862,0.1337243238344595,0.2982087857351454,0.14175125032403066
Subject02,Subject02_2.edf,7,7.457099835684347e-11,1.5055586983947402e-10,6.981016449337704e-11,0.49530449019591666,0.4636827814671734,0.15214941895798728,0.3071836051754848,0.14243574846888282
Subject02,Subject02_2.edf,8,7.613424887230935e-11,1.3527366401453998e-10,6.877787702176761e-11,0.5628164907555546,0.5084350861848096,0.15853132545976473,0.2816749829894712,0.14321344425235655
Subject02,Subject02_2.edf,9,8.371990365011532e-11,1.5763271147494195e-10,7.102897809549114e-11,0.5311074260333576,0.45059795921091067,0.16979619562407217,0.3197021681512088,0.14405714452423807
Subject02,Subject02_2.edf,10,7.202043333037758e-11,1.3938795681175003e-10,6.894611302197111e-11,0.5166905016596559,0.4946346484946764,0.143198047443979,0.2771447258736402,0.13708538406466148
Subject03,Subject03_2.edf,1,5.769428964464516e-11,5.1980670130826385e-11,5.725118043455756e-11,1.1099181580275626,1.101393658266933,0.22787724512049107,0.20530995323605852,0.2261270804732754
Subject03,Subject03_2.edf,2,5.640622826918383e-11,5.532966704896148e-11,5.7235184537169105e-11,1.0194572148657555,1.0344393449272238,0.22361468030165974,0.21934680243653565,0.2269009626243311
Subject03,Subject03_2.edf,3,5.931620639908588e-11,5.7121939095985295e-11,5.8191233057241896e-11,1.038413739761415,1.0187194968899744,0.22933062948207933,0.22084706769651383,0.22498121369341867
Subject03,Subject03_2.edf,4,6.543632535970878e-11,5.760108204598119e-11,5.443324489968919e-11,1.1360259744334829,0.9450038604524267,0.24915208385336488,0.21931900278742553,0.20725730430469366
Subject03,Subject03_2.edf,5,6.25301313608962e-11,5.5978025828794876e-11,5.524202704569998e-11,1.117047813585647,0.9868520053682154,0.2379513578411094,0.21301805969907575,0.21021729939367914
Subject03,Subject03_2.edf,6,5.963664063831208e-11,5.2164188269015024e-11,5.554403807973632e-11,1.1432487040871986,1.0647925314833067,0.24203381075620695,0.21170705017282607,0.22542408588638688
Subject03,Subject03_2.edf,7,6.408434656796677e-11,5.396284243908058e-11,5.62694817831214e-11,1.1875643252171622,1.0427449563400004,0.24543415580342817,0.20667019932461111,0.2155043079715208
Subject03,Subject03_2.edf,8,6.972114926642615e-11,5.860861821853646e-11,5.884978338089783e-11,1.189605750581833,1.0041148412928305,0.2581518319539467,0.21700620716374758,0.21789915326578552
Subject03,Subject03_2.edf,9,7.859542827548856e-11,5.570286502741982e-11,6.661989785349527e-11,1.4109764055547205,1.1959869177411524,0.2709487385265441,0.19202924829917445,0.2296644687894801
Subject03,Subject03_2.edf,10,6.896670933734782e-11,5.6791992119342095e-11,6.011846618551454e-11,1.2143738362341983,1.0585729421003973,0.25148785196938206,0.20709261387683697,0.21922263755886487
Subject04,Subject04_2.edf,1,6.934169382899804e-11,8.986958066445747e-11,6.790109661287373e-11,0.7715813662010552,0.7555515015296822,0.17468577237263277,0.226399677370013,0.17105661618274892
Subject04,Subject04_2.edf,2,8.396259704176565e-11,9.407349386171702e-11,6.607465108767695e-11,0.8925213000506408,0.7023726702954515,0.19856264102054394,0.22247384013051305,0.15625954516335183
Subject04,Subject04_2.edf,3,7.078300953245434e-11,8.629202101680821e-11,6.660571694352654e-11,0.820272937154491,0.7718641440852669,0.17577288895316553,0.21428585656247282,0.16539956926517135
Subject04,Subject04_2.edf,4,8.423995284480854e-11,8.977374125989599e-11,6.790920819591893e-11,0.9383584961768824,0.7564484585678679,0.20857585943072432,0.22227737083483215,0.16814137454252714
Subject04,Subject04_2.edf,5,8.483322562322428e-11,8.851413311937997e-11,7.101835784699308e-11,0.9584144659566262,0.8023391897338005,0.19507419901933737,0.20353845434149112,0.16330687853602213
Subject04,Subject04_2.edf,6,9.07642738205214e-11,8.914421426455617e-11,7.349975901832807e-11,1.0181734683437484,0.824503975100397,0.20708630784348397,0.20339000600786525,0.16769586844917853
Subject04,Subject04_2.edf,7,7.152478332353028e-11,8.396396160353129e-11,6.673759722309306e-11,0.8518509841312937,0.7948362124481543,0.17816325811987319,0.20914838562000573,0.16623871066585136
Subject04,Subject04_2.edf,8,6.664989740591356e-11,8.67398015705314e-11,6.632759854797632e-11,0.7683888618504392,0.7646731644185611,0.1863908875662173,0.24257364574149282,0.18548955729369432
Subject04,Subject04_2.edf,9,7.772829995080482e-11,9.09005157523635e-11,6.574089733429682e-11,0.8550919574819223,0.7232180894703834,0.19648182580813334,0.2297785917513874,0.16618003412763357
Subject04,Subject04_2.edf,10,7.738475918733619e-11,8.382384947732888e-11,6.951790491009498e-11,0.9231830758174114,0.8293332427890572,0.20961240348158974,0.22705399283451252,0.1883034241656496
